Аппетит у меня  хороший;1;0;1;0;0;1;0;1;0;0
Обычно по утрам я просыпаюсь свежим и отдохнувшим.;2;0;1;0;0;2;0;1;0;0
Моя повседневная жизнь заполнена делами, которые мне интересны.;3;0;1;0;0;5;0;1;0;0
Сейчас я примерно так же работоспособен, как и всегда.;4;0;1;0;0;6;0;1;0;0
Запоры бывают у меня очень редко.;5;0;1;0;1;7;0;1;0;0
У меня бывают приступы тошноты и рвоты.;6;1;0;0;0;9;1;0;0;1
Считаю, что если я попал в беду, то лучше всего мне помалкивать.;7;0;0;1;0;0;0;0;0;0
Временами в меня вселяется злой дух.;8;0;0;0;1;10;0;0;0;1
Я редко беспокоюсь о своем здоровье.;9;0;1;0;0;12;0;1;0;0
Бывает, у меня появляется желание ломать и крушить все вокруг.;10;0;0;0;1;13;0;0;0;1
Бывало, что я целыми днями или даже неделями ничего не мог делать, потому что никак не мог заставить себя взяться за работу.;11;1;0;0;0;14;1;0;0;0
Сон у меня прерывистый и беспокойный.;12;1;0;0;0;15;1;0;0;0
Сейчас я могу судить о вещах лучше, чем когда бы то ни было.;13;0;0;0;1;16;0;0;0;1
Состояние моего здоровья примерно такое же, как у большинства моих знакомых.;14;0;1;0;0;17;0;1;0;0
Я вел неправильный образ жизни.;15;1;0;0;0;18;1;0;0;0
"В различных частях своего тела я часто чувствую жжение, покалывание, ""ползание мурашек"" или онемение.";16;1;0;0;1;19;1;0;0;1
Иногда я так настаиваю на своем, что люди теряют терпение.;17;0;0;0;1;0;0;0;0;0
Я бы хотел быть таким же счастливым, какими мне кажутся другие.;18;0;0;1;0;20;0;0;1;0
Несколько раз в неделю меня беспокоят неприятные ощущения в верхней части живота (под ложечкой).;19;0;0;0;1;21;0;0;0;1
Большую часть времени настроение у меня подавленное.;20;1;0;0;0;22;1;0;0;0
У меня мало уверенности в себе.;21;1;0;0;0;23;1;0;0;0
Я охотно принимаю участие во всех собраниях и других общественных мероприятиях.;22;0;1;0;0;25;0;1;0;0
Моя речь сейчас такая же, как всегда (не быстрее, не медленнее, нет ни хрипоты, ни невнятности).;23;0;1;0;1;26;0;1;0;1
Временами я бываю совершенно уверен в своей никчёмности.;24;1;0;1;0;28;1;0;0;0
Обычно я засыпаю спокойно, и меня не тревожат никакие мысли.;25;0;1;0;0;29;0;1;1;0
Последние несколько лет большую часть времени я чувствую себя хорошо.;26;0;1;0;0;30;0;1;0;0
Сейчас мой вес постоянен (я не полнею и не худею).;27;0;1;0;0;31;0;1;0;1
Я стал хуже понимать содержание прочитанного.;28;1;0;1;0;32;1;0;1;0
Мне бывает очень досадно, если мне приходится признать, что меня ловко провели.;29;0;0;0;1;0;0;0;0;0
С моим рассудком творится что-то неладное.;30;1;0;0;0;34;1;0;0;0
Приступы головокружения бывают у меня очень редко (или не бывают совсем).;31;0;0;1;0;0;0;0;0;0
Мне кажется, что с памятью у меня все в порядке.;32;0;1;0;0;35;0;1;0;0
Я боюсь сойти с ума.;33;0;1;0;0;36;0;1;0;0
Руки у меня такие же ловкие и проворные, как и прежде.;34;0;1;0;0;37;0;1;0;0
Я могу долго читать, и глаза мои не устают.;35;0;1;0;0;38;0;1;0;0
Большую часть времени я испытываю общую слабость.;36;1;0;0;0;39;1;0;0;0
Голова у меня болит очень редко.;37;0;0;1;0;40;0;0;1;0
Я мечтаю очень редко.;38;0;0;1;0;42;0;0;1;0
Думаю, что я человек обреченный.;39;1;0;0;0;43;1;0;0;0
Я люблю поухаживать за женщинами.;40;0;0;0;1;0;0;0;0;0
Охота мне нравится.;41;0;0;0;1;0;0;0;0;0
Я редко задыхаюсь, и у меня не бывает сильных сердцебиений.;42;0;0;1;0;45;0;0;1;0
Случалось, что я препятствовал людям в каком-либо деле не потому, что это было для меня действительно важно, а просто из принципа.;43;0;0;0;1;46;0;0;0;1
Я часто предаюсь грустным размышлениям.;44;1;0;0;0;47;1;0;0;0
Думаю, что нервы у меня такие же, как и у большинства окружающих (не хуже).;45;0;1;0;0;48;0;1;0;0
У меня редко что-либо болит (или никогда ничего не болит).;46;0;0;1;0;49;0;0;1;0
Иногда безо всякой причины или даже когда дела идут плохо, я чувствую себя радостно возбужденным и счастливым.;47;0;0;0;1;50;0;0;0;1
Мне нравится бывать в компаниях, где все подшучивают друг- над другом.;48;0;0;0;1;51;0;0;0;1
Принимаясь за какое-нибудь дело, я обычно рассчитываю на успех.;49;0;1;0;0;52;0;1;0;0
Самое трудное для меня в любом деле - это начало.;50;0;0;1;0;0;0;0;0;0
Моя внешность меня, в общем, устраивает.;51;0;0;0;1;0;0;0;0;0
Раз в неделю или чаще я бываю очень возбужденным и взволнованным.;52;0;0;0;1;54;0;0;0;1
Плохое настроение у меня быстро проходит, потому что всегда находится что-нибудь интересное, что меня отвлекает.;53;0;1;0;0;55;0;1;0;0
Бываю, что я замечал, что незнакомые люди смотрят на меня критически.;54;1;0;0;0;57;1;0;0;0
У меня редко звенит или гудит в ушах.;55;0;1;0;0;58;0;1;0;0
Работа стоит мне большого напряжения.;56;1;0;0;0;59;1;0;0;0
Иногда совершенно безо всякой причины у меня вдруг наступает период необычайной веселости.;57;0;0;0;1;0;0;0;0;0
Некоторые вещи настолько меня волнуют, что мне даже говорить о них трудно.;58;0;0;0;1;60;0;0;0;1
Даже среди людей я обычно чувствую себя одиноким.;59;1;0;0;0;61;1;0;0;0
Мне кажется, что я завожу друзей с такой же легкостью, как и другие.;60;0;1;0;0;62;0;1;0;0
Определенно, судьба несправедлива ко мне.;61;1;0;1;0;63;1;0;0;0
Думаю, что почти каждый может солгать, чтобы избежать неприятностей.;62;0;0;0;1;0;0;0;0;0
Я впечатлительнее большинства других людей.;63;1;0;0;0;64;1;0;0;0
Мне трудно сосредоточиться на какой-либо задаче или работе.;64;1;0;0;0;65;1;0;0;0
Я очень редко вижу сны.;65;0;0;1;0;66;0;0;1;0
Мне трудно сосредоточиться на чем-либо одном.;66;1;0;0;1;67;1;0;0;0
Я легко теряю терпение с людьми.;67;0;0;0;1;68;0;0;0;1
Я почти всегда о чем-нибудь или о ком-нибудь тревожусь.;68;1;0;0;0;69;1;0;0;0
Мне труднее сосредоточиться, чем другим.;69;1;0;0;0;70;1;0;0;0
Я склонен все принимать близко к сердцу.;70;1;0;0;0;71;1;0;0;0
Временами мне кажется, что моя голова работает медленнее, чем обычно.;71;1;0;0;0;72;1;0;0;0
Приступы плохого настроения бывают у меня очень редко.;72;0;1;0;0;73;0;1;0;0
Мне часто говорят, что я вспыльчив.;73;0;0;0;1;0;0;0;0;0
Часто даже когда все складывается для меня хорошо, я чувствую, что мне все безразлично.;74;1;0;0;0;74;1;0;1;0
Иногда у меня бывает чувство, что передо мной нагромоздилось столько трудностей, что одолеть их просто невозможно.;75;1;0;0;0;75;1;0;0;0
Мне определенно доставило бы удовольствие провести мошенника его же способом.;76;0;0;1;0;0;0;0;0;0
Когда я слышу об успехах близкого знакомого, я начинаю чувствовать, что я -неудачник.;77;0;0;0;1;0;0;0;0;0
Временами мне кажется, что я ни на что не годен.;78;1;0;0;0;77;1;0;0;0
Я часто вижу сны.;79;0;0;0;1;78;0;0;0;1
Меня весьма беспокоят возможные несчастья.;80;0;0;0;1;0;0;0;0;0
Часто я и сам огорчаюсь, что я такой раздражительный и ворчливый.;81;1;0;0;0;79;1;0;0;0
По возможности, я стараюсь избегать большого скопления людей.;82;1;0;0;0;81;1;0;0;0
Если меня постигает неудача или я попадаю в беду, я всегда обращаюсь за помощью.;83;0;0;1;0;0;0;0;0;0
Я понимаю людей, которые полностью отдаются своим горестям и заботам.;84;1;0;1;0;82;1;0;0;0
Должен признаться, что временами я волнуюсь из-за пустяков.;85;0;0;0;1;83;0;0;0;1
Бывали периоды, когда я чувствовал себя настолько полным энергии, что, казалось, мог бы обходиться без сна по несколько суток.;86;0;0;0;1;0;0;0;0;0
Я человек нервный и легко возбудимый.;87;1;0;0;0;84;1;0;0;1
В моем доме всегда было все самое необходимое (достаточно еды, одежды и т.д.).;88;0;0;1;0;0;0;0;0;0
Как правило, я решительно отстаиваю свои взгляды.;89;0;0;0;1;86;0;0;0;1
Я краснею очень редко.;90;0;1;0;0;87;0;1;0;0
Будущее кажется мне безнадежным.;91;1;0;0;0;88;1;0;0;0
Члены моей семьи и мои близкие родственники ладят друг с другом.;92;0;0;1;0;0;0;0;0;0
Я почти всегда ощущаю сухость во рту.;93;1;0;1;0;90;1;0;1;0
Большую часть времени я чувствую себя усталым.;94;1;0;0;0;91;1;0;0;0
Иногда я чувствую, что близок к нервному срыву.;95;1;0;0;0;92;1;0;0;0
Меня очень раздражает, что я забываю, куда кладу вещи.;96;1;0;0;0;93;1;0;0;0
Если я хочу что-то сделать, но окружающие считают, что этого делать не стоит, я готов отказаться от своих намерений.;97;0;0;1;0;0;0;0;0;0
Я легко просыпаюсь от шума.;0;0;0;0;0;3;0;0;0;1
Обычно мои руки и ноги достаточно теплые.;0;0;0;0;0;4;0;0;1;0
Временами у меня бывают приступы смеха или плача, с которыми я никак не могу справиться.;0;0;0;0;0;8;0;0;0;1
Два-три раза в неделю по ночам меня мучают кошмары.;0;0;0;0;0;11;0;0;0;1
Я считаю, что большинство людей способно солгать, чтобы продвинуться по службе.;0;0;0;0;0;24;0;0;1;0
Мне кажется, что по сравнению с большинством окружающих я достаточно способная и сообразительная.;0;0;0;0;0;27;0;0;0;1
Мое темя бывает очень чувствительным к прикосновениям.;0;0;0;0;0;33;0;0;0;1
Иногда, когда я смущена, я сильно потею, и это меня раздражает.;0;0;0;0;0;41;0;0;0;1
Я люблю пококетничать с мужчинами.;0;0;0;0;0;44;0;0;0;1
Я очень легко потею даже в прохладные дни.;0;0;0;0;0;53;0;0;0;1
Я спокойно выхожу из дому, не беспокоясь о том, заперла ли я дверь, окна,выключила ли свет и т.п.;0;0;0;0;0;56;0;0;0;1
Меня довольно трудно вывести из себя.;0;0;0;0;0;76;0;0;1;0
Все, что связано с сексом, вызывает у меня отвращение.;0;0;0;0;0;80;0;0;1;0
У меня есть свой особый воображаемый мир, о котором я никому не рассказываю.;0;0;0;0;0;85;0;0;0;1
Люди довольно легко могут изменить мое мнение, даже если до этого оно казалось мне окончательным.;0;0;0;0;0;89;0;0;1;0
